Feature ID,Requirement ID,Tier,Feature,User value,Inputs,Outputs,Business rules,Dependencies,Edge cases,UI states,Responsive behavior,Accessibility,Acceptance tests,Status
FEAT-001,REQ-001,Must,Home thesis and capability ladder,Understand the six-step story quickly,projects.json,Ordered editorial ladder,Fixed ACT→CONNECT order; not equal cards,Project content,Long titles,"Default, focus",Stepped desktop; vertical mobile,Keyboard links; semantic ordered list,AT-001,Planned
FEAT-002,REQ-002,Must,Recruiter proof strip and actions,See scope and next actions,site config,Proof strip and conditional CTAs,No fake metrics; hide empty URLs,Owner config,All links empty,"Default, hidden",Wrap without overflow,Clear link names,"AT-002, AT-023",Planned
FEAT-003,REQ-003,Must,Pattern filters,Find projects by pattern,Selected patterns,Filtered index,Multi-select; clear action,projects.json,No match,"Default, hover, focus, selected, empty",Contained wrapping/scroll,Checkbox semantics; result announcement,"AT-007, AT-008, AT-020",Planned
FEAT-004,REQ-004,Must,Case-study content system,Inspect every project,Project entity,Six pages,All required sections; missing evidence pending,projects.json,No source link,"Default, pending",Project-specific mobile,"Headings, lists, diagram alternatives","AT-003, AT-021",Planned
FEAT-005,REQ-005,Must,Project-specific visual layouts,Remember each project,Project vibe spec,Six distinct compositions,Shared tokens; distinct macro-layout,Design tokens,Mobile simplification,"Default, focus",Custom desktop; readable mobile,No color-only meaning,"AT-009, AT-018",Planned
FEAT-006,REQ-006,Must,A2A System Explorer,See request movement,traces.json,"Path, inspector, artifact",Static simulated mode,SVG and trace player,Module error; future offline backend,"Default, playing, paused, complete, error",Diagram+inspector; vertical mobile,Keyboard and aria-live,"AT-005, AT-006, AT-010, AT-020",Planned
FEAT-007,REQ-007,Must,Simulation notice,Understand trace status,feature flag,Persistent label,Not tooltip-only,Trace player,Future live mode,"Default, future live",Always visible,Plain text,AT-004,Planned
FEAT-008,REQ-008,Must,Evidence badges and footer,Judge implementation maturity,Evidence items,Status and source actions,Allowed labels only,Project data,Empty path,"Verified, implemented, proposed, pending",Compact rows,Icon + text,"AT-012, AT-021, AT-022",Planned
FEAT-009,REQ-009,Must,Known limitations,See engineering honesty,Limitations arrays,Project and consolidated lists,At least 3/project,Project data,Long list,Default,Single column mobile,Semantic lists,"AT-003, AT-024",Planned
FEAT-010,REQ-010,Must,Learn and glossary,Understand terms in context,glossary.json,Four lessons and tooltips,Tooltip one sentence,Learning copy,Touch interaction,"Default, hover, focus, open",Inline mobile definitions,Focus-open tooltips,AT-019,Planned
FEAT-011,REQ-011,Must,Responsive shell,Use on any device,Viewport,Adaptive layout,No page overflow,All pages,"320px, long code",N/A,320–1440 defined,Zoom and touch targets,"AT-009, AT-010",Planned
FEAT-012,REQ-012,Must,Accessibility system,Keyboard/screen-reader use,Interaction,"Focus, semantics, announcements",Never remove outline without replacement,All controls,Drawer restore,"Focus, disabled, error",Same capability all sizes,WCAG AA target,AT-015–AT-020,Planned
FEAT-013,REQ-013,Must,External link guard,Avoid broken/fake actions,Config URL,Link or hidden,Empty hidden,Site config,Malformed URL,"Visible, hidden",N/A,Descriptive names,AT-002,Planned
FEAT-014,REQ-014,Must,Data-driven rendering,Maintain and add projects,JSON/TS,Pages and diagrams,Schema validation,Data model,Unknown node,Error fallback,Adaptive renderer,Generated alternatives,"AT-003, AT-014",Planned
FEAT-015,REQ-016,Should,Verified code excerpts,Inspect implementation,Real code + path,Annotated excerpt,10–25 lines; no fake source,Repositories,Missing code,"Verified, pending",Internal scroll,Copy feedback,AT-021,Blocked by owner input
FEAT-016,REQ-015,Should,Performance optimization,Fast mobile experience,Bundle/assets,Performance budget,Lazy below-fold diagrams,Implementation,Font failure,Loading fallback,Mobile-first,Reduced motion,AT-025–AT-027,Planned
FEAT-017,REQ-017,Could,Print-friendly case studies,Share or save dossier,Case-study content,Print CSS,Hide controls; preserve content,Layout,Long diagrams,Print,Print media,Readable order,AT-030,Planned
FEAT-018,REQ-018,Later,Live agent backend,Run verified requests,Prompt/file,Real trace/artifact,"Rate limit, redaction, consent, fallback",Backend and secrets,"Offline, timeout, abuse","Loading, live, error, offline",Same trace UI,Status announcements,Future,Later
